Categorie;Thema;Risico;Impact;Kans
Scope;Planning;Ontwerpwijzigingen leiden tot vertraging in de uitvoering;4;0.6
Scope;Planning;Onvoldoende doorlooptijd voor vergunningstraject;3;0.5
Scope;Planning;Late aanlevering materialen door leverancier;3;0.45
Scope;Budget;Meerwerk door onvoorziene scope-uitbreiding;5;0.55
Scope;Budget;Prijsstijgingen grondstoffen en materialen;3;0.7
Scope;Budget;Hogere engineeringskosten dan begroot;3;0.4
Scope;Techniek;Complexe interface met bestaande systemen;4;0.5
Scope;Techniek;Onverwachte kabelligging in de ondergrond;3;0.6
Scope;Techniek;Afhankelijkheid van verouderde technologie;4;0.35
Scope;Vergunningen;Vergunning wordt niet tijdig verleend;4;0.4
Scope;Vergunningen;Aanvullende eisen vanuit bevoegd gezag;3;0.5
Scope;Vergunningen;Bezwaren van omwonenden op bestemmingsplan;3;0.3
Locatie;Omgeving;Geluidshinder leidt tot beperkingen werktijden;3;0.55
Locatie;Omgeving;Bodemverontreiniging op projectlocatie;4;0.3
Locatie;Omgeving;Ecologische beperkingen (beschermde soorten);4;0.4
Locatie;Omgeving;Wateroverlast bij hoge grondwaterstand;3;0.45
Locatie;Bereikbaarheid;Beperkte toegang tot werklocatie voor zwaar materieel;3;0.5
Locatie;Bereikbaarheid;Overlast voor treinverkeer groter dan verwacht;4;0.6
Locatie;Bereikbaarheid;Hinder voor omliggende bedrijven en bewoners;2;0.65
Locatie;Kabels en Leidingen;Niet-geregistreerde kabels en leidingen;5;0.45
Locatie;Kabels en Leidingen;Verlegging kabels duurt langer dan gepland;4;0.5
Locatie;Kabels en Leidingen;Schade aan kabels tijdens uitvoering;5;0.25
Locatie;Stakeholders;Afstemming met gemeente leidt tot vertraging;3;0.55
Locatie;Stakeholders;Netbeheerder kan niet tijdig leveren;4;0.4
Locatie;Stakeholders;Weerstand bij lokale belanghebbenden;2;0.5
